id,nombre_cientifico,categoria,categoria2,grupo,clasificacion_FAO,cultivo,origen_et,origen,vulnerabilidad_et,vulnerabilidad,imp_economica_org,imp_economica_org_et,seg_alimentaria_org,seg_alimentaria_org_et,incertidumbre,incertidumbre_et,imp_economica,imp_economica_et,pool_imp_economica,seg_alimentaria,seg_alimentaria_et,pool_imp_sa,int_banco,int_banco_et,un_catalogo,un_estado_conservacion,est_conservacion_BGRL,vulnerabilidad,un_origen,un_habito,un_region_biogeografica,un_elevacion_msnm,un_departamentos,origen_x_regiones,tipo_origen,fuente_lista,clasificacion_FAO,ciclocultivo,int_economico_colombia,accesiones,sistema_conservacion,existe_banco,especies_cercanas_genoma,seguridad_alimentaria,accion_prioritaria,costo,catalogo_plantas_colombia,plan_nacional_sa,reg_mincultura,nombre_comun,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,promedio_p,AC1,AC2,AC3,AC4,AC5,AC6,AC7,AC8,AC9,AC10,AC11,prom_ac,VP1,VP2,VP3,VP4,VP5,VP6,VP7,VP8,VP9,VP10,prom_vp,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,rendimiento,valor_produccion_h,porc_municipios,exportaciones_cneta,Valor_FOB _Exportaciones(COP),Valor_FOB_Exportaciones(COP-kg),Importaciones_Cantidad neta (t),Valor_FOB_Importaciones(COP),Valor_CIF_Importaciones(COP),Valor_FOB_Importaciones(COP-kg),Valor_CIF_Importaciones_(COP-kg),Grado_de_suficiencia,proxy_Consumo_aparente_Nacional,Indicador_de_generación_de_divisas(Exportaciones-Producción),Porcentaje_valor_FOB_exportaciones_totales,Porcentaje_valor_CIF_de_Importaciones,indice_lafay,calcio_precio,hierro_precio,pesos-Sodio promedio,pesos-Fósforo promedio,pesos-Yodo promedio,pesos-Flúor promedio,zinc_precio,pesos-Manganeso promedio,pesos-Magnesio promedio,pesos-Potasio promedio,energia_precio,pesos-Energía (kj),pesos-Humedad promedio,pesos-Proteína promedio,pesos-Lípidos promedio,pesos-Cenizas promedio,pesos-Fibra dietaria promedio,Consumo_alimentos,Aporte promedio diario de Calcio (mg/día),Aporte promedio diario de Hierro (mg/día),Aporte promedio diario de Zinc (mg/día),Aporte promedio diario de Energía (kcal/día),Calcio,TipoCalcio,Zinc,TipoZinc,Hierro,TipoHierro,Energia,TipoEnerg
193,Passiflora edulis,BGV List,BGVCOL,Frutales,Fruits and nuts,Passifloras,Local,70,MinorConcern,35,52.22,Medium,37.5,Low,30,Baja,52.22,Medium,No,37.5,Low,No,29.12,Low,Yes,Not Evaluated,Least concern,MinorConcern,Native & cultivated,Trepadora,"Amazonia,Andes,Pacífico,Valle del Cauca,Valle del Magdalena",0 - 2000,"Antioquia,Cauca,Chocó,Cundinamarca,La Guajira,Guaviare,Quindío,Santander,Sucre,Valle,Vichada",Tropical South America,Nativa,Lista BGV,Fruits and nuts,Permanente,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,MARACUYA,112975,103972,91311.8,92928.5,79458.3,84545.8,94217.1,91611.1,96185.7,119389,140116,100610.0273,6340.07,5706.75,5620.98,5894.47,5319.1,5474.16,5793.5,5798.8,6205.9,7192.3,8161.23,6137.023636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.39394489,39050377,0.159,370.71,4891467719,13195.02,0.34,1833885.8,2486065.83,5387.44,7303.37,1,139745.63,3.70E-03,4.00E-04,0,1,26.46666685,140.117648,NA,11.34285722,NA,NA,NA,NA,NA,NA,4.037288164,0.972244905,2.80565373,158.8000011,476.4000033,340.2857167,NA,97,8.73,1.649,0,57.23,1.46E-02,T1,NA,NA,0.1268,T1,4.77E-02,T1
194,Passiflora ligularis,BGV List,BGVCOL,Frutales,Fruits and nuts,Passifloras,Local,70,MinorConcern,35,50.53,Medium,57.5,Medium,10,No,50.53,Medium,No,57.5,Medium,No,69.12,Medium,Yes,Least concern,Least concern,MinorConcern,Native & cultivated,Trepadora,Andes,1000 - 3000,"Antioquia,Boyacá,Cauca,Cundinamarca,Huila,Meta,Nariño,Norte de Santander,Quindío,Risaralda,Santander,Tolima,Valle",Tropical South America,Nativa,Lista BGV,Fruits and nuts,Permanente,NA,NA,NA,1,NO,NA,NA,NA,NA,NA,NA,GRANADILLA,43859.2,52387.8,53184.3,47891.3,39074.3,37078.2,43964.4,47964.1,54355.1,42950.5,49512.2,46565.58182,3609,4582.2,4852.2,4501.93,3753.8,3551.65,3469.48,3695.8,4316.5,3793.55,4468.85,4054.087273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.48608273,45588262,0.127,809.63,12027879681,14856.03,NA,NA,NA,NA,NA,1,48702.57,1.74E-02,1.00E-03,0,1.02,33.07499974,440.9999966,19.84499985,7.937999938,NA,NA,496.1249961,3968.999969,15.87599988,0.826874994,6.013636317,1.432851974,4.948877767,188.9999985,248.0624981,360.818179,67.27118592,109,13.08,0.981,0.872,71.94,2.18E-02,T1,0.218,T1,7.55E-02,T1,0.06,T1
195,Patinoa almirajo,BGV List,BGVCOL,Frutales,Fruits and nuts,Frutales menores,Local,70,NotEvaluated,0,8,Undetermined,8,Undetermined,90,Alta,8,Undetermined,No,8,Undetermined,No,55,Medium,Yes,Not Evaluated,No result,NotEvaluated,Native,Árbol,"Andes,Pacífico",0 - 1100,"Antioquia,Chocó,Risaralda,Valle",Tropical South America,Nativa,Lista BGV,Fruits and nuts,Permanente,NA,NA,campo,0,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,Persea americana,BGV List,BGVCOL,Frutales,Fruits and nuts,Aguacate,Close,45,MinorConcern,35,52.13,Medium,53.92,Medium,90,Alta,52.13,Medium,No,53.92,Medium,No,24.34,Low,Yes,Not Evaluated,Least concern,MinorConcern,Cultivated,Árbol,"Amazonia,Andes,Guayana y Serranía de La Macarena,Islas Caribeñas,Llanura del Caribe,Orinoquia,Pacífico,Valle del Cauca,Valle del Magdalena",0 - 2500,"Amazonas,Antioquia,Atlántico,Bolívar,Caldas,Cauca,Cesar,Chocó,Córdoba,Cundinamarca,Huila,Magdalena,Nariño,Norte de Santander,Putumayo,Quindío,Risaralda,San Andrés, Providencia y Santa Catalina,Santander,Tolima,Valle",Central America y Mexico,Nativa,Lista BGV,Fruits and nuts,Permanente,NA,NA,matero,1,NA,NA,NA,NA,NA,NA,2,AGUACATE,173934,171155,189028,205442,214917,255384,294997,288739,312615,335877,396002,258008.1818,17657.1,17825.7,19253.4,21589.8,24512.9,27705.5,32089.1,34513.4,38359.3,40981.1,44401.5,28989.89091,219.468,215.293,222.281,291.782,349.789,407.468,435.405,205.356,175.841,158.83,268.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.899936279,30508982,0.427,30008.71,1.83E+11,6114.5,NA,NA,NA,NA,NA,1,365993.29,0.1163,1.58E-02,0,1.08,42.85000061,NA,NA,28.56666707,NA,NA,NA,NA,38.08888943,2.397202831,2.016470617,0.482816908,5.124065843,263.6923115,20.90243932,190.4444472,NA,NA,NA,NA,NA,NA,1.51E-02,T2,NA,NA,NA,NA,0.1601,T2
197,Persea caerulea,BGV List,BGVCOL,Frutales,Fruits and nuts,Aguacate,Close,45,MinorConcern,35,8,Undetermined,8,Undetermined,90,Alta,8,Undetermined,No,8,Undetermined,No,15,Low,Yes,Not Evaluated,Least concern,MinorConcern,Native,Árbol,"Andes,Sierra Nevada de Santa Marta,Valle del Cauca",1000 - 2500,"Antioquia,Caldas,La Guajira,Magdalena,Valle",Central America y Mexico,Nativa,Lista BGV,Fruits and nuts,Permanente,NA,NA,campo,0,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,Phaseolus coccineus,BGV List,BGVCOL,Leguminosas,Leguminous crops,Frijol,Close,45,MinorConcern,35,70,High,8,Undetermined,90,Alta,70,High,No,70,High,GP,55,Medium,Yes,Not Evaluated,Near threatened,MinorConcern,Native & cultivated,Trepadora,Andes,1500 - 2850,"Antioquia,Caldas,Cauca,Cundinamarca,Putumayo,Quindío,Valle",Central America y Mexico,Nativa,Lista BGV,Leguminous crops,Anual,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,6300.8,6680.5,5406.5,8311.5,5991.031005,3822.6,4403,3351.1,4988.46,4559.2068,4560.239,5306,383.5,211.3,174,327.8,291.9146468,252.6,186,126.3,164.9,173.8,169.78,223.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,29900000,1.09E-02,NA,NA,NA,NA,NA,NA,NA,NA,1,4560.24,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,Phaseolus vulgaris,BGV List,BGVCOL,Leguminosas,Leguminous crops,Frijol,Close,45,MinorConcern,35,50,Medium,70,High,10,No,50,Medium,No,70,High,No,15,Low,Yes,Not Evaluated,Near threatened,MinorConcern,Cultivated,"Hierba,Trepadora","Amazonia,Andes,Orinoquia,Pacífico",30 - 2550,"Amazonas,Antioquia,Caquetá,Cundinamarca,Huila,Meta,Nariño,Norte de Santander,Putumayo,Valle,Vaupés",Central America y Mexico,Nativa,Lista BGV,Leguminous crops,Transitorio,NA,NA,cavas,1,NA,NA,NA,NA,NA,X,5,HABICHUELA,154408,145209,147033,136720,129659,135165,142163,148964,139052,133381,156801,142595.9091,63351,59733.5,62709.6,58049.2,61404.2,59028.8,62221.6,59143.1,54541.2,56253.5,72040.5,60770.56364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.346463494,5852080,0.606,NA,NA,NA,NA,NA,NA,NA,NA,1,156801,0,0,0,1,7.557575817,415.6666699,1.005645169,8.313333399,NA,NA,1247.00001,831.3333399,16.6266668,1.673825517,16.6266668,3.896875031,2.690399158,155.8750012,2494.00002,311.7500024,89.07142927,36.8,12.144,0.2208,7.36E-02,5.52,2.02E-02,T1,1.84E-02,T1,1.70E-02,T1,4.60E-03,T1
200,Phyllanthus acidus,BGV List,BGVCOL,Otros permanentes,Other crops,Frutales menores,Distant,20,NotEvaluated,0,8,Undetermined,8,Undetermined,90,Alta,8,Undetermined,No,8,Undetermined,No,15,Low,Yes,Not Evaluated,No result,NotEvaluated,Cultivated,Arbusto,Andes,1088,Valle,South Asia,Introducida,Lista BGV,Other crops,Permanente,NA,NA,campo,0,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,Physalis peruviana,BGV List,BGVCOL,Frutales,Fruits and nuts,Uchuva,Local,70,MinorConcern,35,79.7,High,33.92,Low,60,Media,79.7,High,No,33.92,Low,No,72.3,Medium,Yes,Not Evaluated,Least concern,MinorConcern,Native & cultivated,"Hierba,Subarbusto","Andes,Sierra Nevada de Santa Marta",1300 - 3700,"Antioquia,Boyacá,Cesar,Huila,Magdalena,Putumayo,Quindío,Tolima",Tropical South America,Nativa,Lista BGV,Fruits and nuts,Permanente,NA,NA,NA,1,NO,NA,NA,NA,NA,NA,2,UCHUVA,15652.4,15127.9,19332.6,12024.3,10590.1,11133.5,12873.1,15753.5,14381.8,15111.8,15865.7,14349.7,913.7,961.34,1087,744.9,743.428,757.825,879.645,1055.1,928.6,1023.1,1145,930.8761818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.41526175,36225865,1.00E-03,7271.32,95147054208,13085.24,NA,NA,NA,NA,NA,1,8594.38,0.5067,8.20E-03,0,1.85,33.57142847,NA,NA,10.21739127,NA,NA,NA,NA,13.82352937,1.753731338,4.351851838,1.030701751,2.862362963,156.6666662,469.9999985,138.2352937,NA,69,4.83,0,0,37.26,8.10E-03,T1,NA,NA,NA,NA,3.11E-02,T1
202,Pisum sativum,BGV List,BGVCOL,Leguminosas,Leguminous crops,Arveja,Distant,20,MinorConcern,35,35.78,Low,57.37,Medium,10,No,35.78,Low,No,57.37,Medium,No,28.95,Low,Yes,Not Evaluated,Near threatened,MinorConcern,Cultivated,"Hierba,Trepadora",Andes,1090 - 3100,"Antioquia,Boyacá,Norte de Santander,Putumayo,Santander,Valle",Southwest Europe,Introducida,Lista BGV,Leguminous crops,Transitorio,NA,NA,cavas,1,NA,NA,NA,NA,NA,X,1,ARVEJA,42752.6,48234,44463.4,40349.3,43379.9,51284.4,53560.3,51140.9,49868.5,42621.3,47195.5,46804.55455,14523,15119.6,13545.8,13529.1,15218.5,14935.5,17738.7,14043.7,14424.7,12468.7,15608.6,14650.53636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36396,40998,29234,49522,29160,36931,24469,37868,21698,3,9335010,0,561.18,1140582324,2032.47,33318.83,34994509514,40760461349,1050.29,1223.35,1,79953.15,1.20E-02,1.00E-04,5.50E-03,0.59,12.44668,207.4446667,1.249666667,3.14310101,NA,NA,311.167,1555.835,10.72989655,1.532842365,2.991990385,0.712052632,4.549225146,43.21763889,777.9175,222.2621429,66.20574468,48.9,12.225,0.7335,0.489,50.856,2.04E-02,T1,0.1223,T1,5.64E-02,T1,4.24E-02,T1
205,Poncirus trifoliata,BGV List,BGVCOL,Frutales,Fruits and nuts,Cítricos,Distant,20,NotEvaluated,0,8,Undetermined,8,Undetermined,90,Alta,36.38,Low,PCG,33.92,Low,PCG,27.63,Low,No results on catalogoplantasdecolombia.unal.edu.co,NA,No result,NotEvaluated,NA,NA,NA,NA,NA,East Asia,Introducida,ICBF,Fruits and nuts,Permanente,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,Pouteria caimito,BGV List,BGVCOL,Frutales,Fruits and nuts,Frutales menores,Local,70,NotEvaluated,0,8,Undetermined,8,Undetermined,90,Alta,8,Undetermined,No,8,Undetermined,No,55,Medium,No results on catalogoplantasdecolombia.unal.edu.co,NA,No result,NotEvaluated,NA,NA,NA,NA,NA,Tropical South America,Nativa,ICBF,Fruits and nuts,Permanente,NA,NA,campo,0,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,Pouteria campechiana,BGV List,BGVCOL,Frutales,Fruits and nuts,Frutales menores,Close,45,NotEvaluated,0,50.98,Medium,57.5,Medium,60,Media,50.98,Medium,No,57.5,Medium,No,29.12,Low,No results on catalogoplantasdecolombia.unal.edu.co,NA,No result,NotEvaluated,NA,NA,NA,NA,NA,Central America y Mexico,Nativa,ICBF,Fruits and nuts,Permanente,NA,NA,campo,1,NO,NA,NA,NA,NA,NA,NA,MANGOSTINO,505,495,298.5,35,116,428,420,314,546,625.86,848.4,421.0690909,83,85,109,5,6.9,47.9,45.8,60,101,94.2,107.2,67.72727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.217127517,93256913,8.00E-03,NA,NA,NA,NA,NA,NA,NA,NA,1,848.4,0,0,0,1,214.2857148,937.5000025,750.000002,125.0000003,NA,NA,NA,NA,NA,NA,21.42857148,5.119453938,18.29268297,1875.000005,15000.00004,7500.00002,NA,NA,NA,NA,NA,NA,1.32E-02,T2,NA,NA,0.1291,T2,6.59E-02,T2
208,Pouteria lucuma,BGV List,BGVCOL,Frutales,Fruits and nuts,Frutales menores,Local,70,NotEvaluated,0,8,Undetermined,8,Undetermined,90,Alta,8,Undetermined,No,8,Undetermined,No,55,Medium,Yes,Not Evaluated,No result,NotEvaluated,Native,Árbol,Andes,1500 - 3000,"Antioquia,Cauca,Huila,Nariño,Putumayo,Santander,Tolima,Valle",Tropical South America,Nativa,ICBF,Fruits and nuts,Permanente,NA,NA,campo,0,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,Psidium guajava,BGV List,BGVCOL,Frutales,Fruits and nuts,Guayaba,Local,70,MinorConcern,35,54.02,Medium,70,High,10,No,54.02,Medium,No,70,High,No,64.47,Medium,Yes,Not Evaluated,Least concern,MinorConcern,Cultivated,Arbolito,"Amazonia,Andes,Llanura del Caribe,Orinoquia,Pacífico,Valle del Cauca,Valle del Magdalena",50 - 2040,"Amazonas,Antioquia,Boyacá,Caldas,Caquetá,Cauca,Cundinamarca,Huila,Magdalena,Meta,Nariño,Putumayo,Santander,Tolima,Valle",Tropical South America,Nativa,ICBF,Fruits and nuts,Permanente,NA,NA,NA,1,NA,NA,NA,NA,NA,X,3,GUAYABA,139581,136244,123706,126479,122200,128609,136439,137333,135341,119161,149244,132212.4545,13447.8,12632.3,12449.3,12351.2,12183.7,12631.3,12626.8,13872.5,12774.1,11131,13067.5,12651.59091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.45026317,17692296,0.141,64.16,651128958,10148.88,NA,NA,NA,NA,NA,1,149179.84,5.00E-04,1.00E-04,0,1,13.02307726,211.6250054,10.58125027,5.130303162,NA,NA,564.3333478,1693.000043,14.10833369,0.5023739,4.341025752,1.038650333,2.001182084,188.1111159,564.3333478,241.8571491,17.10101054,102.2,13.286,0.8176,0.3066,39.858,2.21E-02,T1,7.67E-02,T1,6.29E-02,T1,3.32E-02,T1
211,Punica granatum,BGV List,BGVCOL,Frutales,Fruits and nuts,Frutales menores,Distant,20,MinorConcern,35,8,Undetermined,8,Undetermined,90,Alta,8,Undetermined,No,8,Undetermined,No,15,Low,Yes,Not Evaluated,Least concern,MinorConcern,Cultivated,Arbusto,Andes,1000 - 2775,"Antioquia,Boyacá,Valle",West Asia,Introducida,ICBF,Fruits and nuts,Permanente,NA,NA,campo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,Matisia cordata,BGV List,BGVCOL,Frutales,Fruits and nuts,Frutales menores,Local,70,NotEvaluated,0,8,Undetermined,8,Undetermined,90,Alta,8,Undetermined,No,8,Undetermined,No,55,Medium,Yes,Not Evaluated,No result,NotEvaluated,Native & cultivated,Árbol,"Amazonia,Andes,Pacífico,Valle del Magdalena",0 - 1500,"Amazonas,Antioquia,Boyacá,Caldas,Cauca,Chocó,Cundinamarca,Huila,Nariño,Putumayo,Quindío,Risaralda,Santander,Tolima,Valle",Tropical South America,Nativa,Lista BGV,Fruits and nuts,Permanente,NA,NA,campo,0,NO,NA,NA,NA,*Matisia cordata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,Ricinus communis,BGV List,BGVCOL,Oleaginosas,Oilseed crops,Higuerilla,Distant,20,MinorConcern,35,30,Low,8,Undetermined,90,Alta,30,Low,No,8,Undetermined,No,15,Low,Yes,Not Evaluated,Least concern,MinorConcern,Cultivated & naturalized,"Arbusto,Arbolito","Andes,Islas Caribeñas,Llanura del Caribe,Pacífico,Sierra Nevada de Santa Marta,Valle del Magdalena",50 - 2650,"Antioquia,Bolívar,Boyacá,Chocó,Córdoba,Cundinamarca,La Guajira,Huila,Magdalena,Putumayo,Quindío,San Andrés, Providencia y Santa Catalina,Sucre,Valle",West Asia,Introducida,Listado EVA's (MADR),Oilseed crops,Permanente,NA,NA,cavas,0,NA,NA,NA,NA,NA,NA,NA,HIGUERILLA,NA,68.5,223.5,3.5,77.5,11,12,957,945,96,86,248,NA,15,46.8333,1,38,5.5,6,324,318,32,27,81.33333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.049180453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,86,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,Rubus floribundus,BGV List,BGVCOL,Frutales,Fruits and nuts,Mora,Local,70,NotEvaluated,0,8,Undetermined,8,Undetermined,90,Alta,30,Low,PCG,8,Undetermined,No,55,Medium,Yes,Not Evaluated,No result,NotEvaluated,Native,Subarbusto,"Andes,Sierra Nevada de Santa Marta",1200 - 3600,"Antioquia,Boyacá,Caldas,Cauca,Cesar,Cundinamarca,Huila,Magdalena,Meta,Nariño,Norte de Santander,Putumayo,Quindío,Risaralda,Santander,Tolima,Valle",Andes,Nativa,Listado EVA's (MADR),Fruits and nuts,Anual,NA,NA,campo,0,NO,NA,NA,NA,*Robus robustus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,Rubus glaucus,BGV List,BGVCOL,Frutales,Fruits and nuts,Mora,Local,70,NotEvaluated,0,50,Medium,50.6,Medium,30,Baja,50,Medium,No,50.6,Medium,No,58.42,Medium,Yes,Not Evaluated,No result,NotEvaluated,Native & cultivated,"Subarbusto,Arbusto","Andes,Sierra Nevada de Santa Marta",1800 - 3200,"Antioquia,Caldas,Cauca,Chocó,Cundinamarca,Huila,Magdalena,Norte de Santander,Putumayo,Quindío,Santander,Tolima,Valle",Andes,Nativa,Listado EVA's (MADR),Fruits and nuts,Permanente,NA,41,campo,1,NO,NA,NA,NA,NA,X,1,MORA,93829.3,93437.3,100199,99181.8,94325.3,100073,105445,105812,108845,110453,130672,103842.9727,10646.5,10877.5,11819.9,12203,11651.4,11930.8,12005.9,12527.7,13072.2,12440.8,13882.3,12096.18182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.584772806,22638046,0.24,NA,NA,NA,NA,NA,NA,NA,NA,1,130672,0,0,0,1,6.278571459,155.1176478,NA,26.37000013,NA,NA,NA,NA,NA,NA,4.185714306,0.998863641,3.15053765,263.7000013,2637.000013,439.5000021,NA,61.6,25.872,1.0472,0,38.808,4.31E-02,T1,NA,NA,8.06E-02,T1,3.23E-02,T1
217,Rubus idaeus,BGV List,BGVCOL,Frutales,Fruits and nuts,Mora,Distant,20,MinorConcern,35,30,Low,8,Undetermined,90,Alta,30,Low,No,8,Undetermined,No,15,Low,Yes,Not Evaluated,Least concern,MinorConcern,Cultivated,Subarbusto,Andes,1500 - 2500,"Cundinamarca,Nariño",Southwest Europe,Introducida,Listado EVA's (MADR),Fruits and nuts,Permanente,NA,NA,NA,1,NO,NA,NA,NA,NA,NA,NA,FRAMBUESA,10,NA,NA,NA,12,0,4,16,8,9,18,9.625,2,NA,NA,NA,2,0,1,4,2,1,1.5,1.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.703703704,45629630,1.00E-03,42.84,346377817.5,8086.23,126.89,1121186186,1165356921,8836.17,9184.29,NA,NA,0,0,2.00E-04,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
